seed,event_rate,resource_scale,method,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits,lex_complete_calls,lex_proven_p1_calls
5,medium,0.5,greedy,14,24,1.0,22.733333333333334,20.272727272727273,1469,15,24,49,329,13,10,0,0.01997339999070391,21,21,0.13617634940255463,0,"[{""node"":""N3"",""tasks"":4,""started"":3,""wait"":14.0,""unstarted"":1},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":28.333333333333332,""unstarted"":2},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":14.5,""unstarted"":1},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":26.0,""unstarted"":1},{""node"":""N7"",""tasks"":5,""started"":4,""wait"":27.0,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3}]",,
5,medium,0.5,static,4,24,0.18181818181818182,17.5,18.0,282,4,47,0,141,0,0,0,0.013699200004339218,1,0,0.19285714285714287,2,"[{""node"":""N3"",""tasks"":4,""started"":1,""wait"":9.0,""unstarted"":3},{""node"":""N4"",""tasks"":5,""started"":1,""wait"":15.0,""unstarted"":4},{""node"":""N5"",""tasks"":3,""started"":1,""wait"":21.0,""unstarted"":2},{""node"":""N6"",""tasks"":3,""started"":0,""wait"":null,""unstarted"":3},{""node"":""N7"",""tasks"":5,""started"":1,""wait"":25.0,""unstarted"":4},{""node"":""N8"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4}]",,
5,medium,0.5,rolling,16,24,1.0,24.294117647058822,20.545454545454547,1691,17,19,55,318,3,8,0,0.726735899981577,21,0,0.1497584541062802,0,"[{""node"":""N3"",""tasks"":4,""started"":3,""wait"":14.0,""unstarted"":1},{""node"":""N4"",""tasks"":5,""started"":4,""wait"":26.0,""unstarted"":1},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":15.0,""unstarted"":1},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":26.0,""unstarted"":1},{""node"":""N7"",""tasks"":5,""started"":5,""wait"":32.0,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3}]",,
5,medium,0.5,lexicographic,16,24,1.0,24.294117647058822,20.545454545454547,1691,17,19,55,342,3,4,0,1.295954100016388,21,0,0.1497584541062802,0,"[{""node"":""N3"",""tasks"":4,""started"":3,""wait"":14.0,""unstarted"":1},{""node"":""N4"",""tasks"":5,""started"":4,""wait"":26.0,""unstarted"":1},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":15.0,""unstarted"":1},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":26.0,""unstarted"":1},{""node"":""N7"",""tasks"":5,""started"":5,""wait"":32.0,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3}]",21,21
5,medium,0.5,rolling_forecast,16,24,1.0,24.294117647058822,20.545454545454547,1691,17,19,55,318,3,8,0,0.7355953999940539,21,0,0.1497584541062802,0,"[{""node"":""N3"",""tasks"":4,""started"":3,""wait"":14.0,""unstarted"":1},{""node"":""N4"",""tasks"":5,""started"":4,""wait"":26.0,""unstarted"":1},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":15.0,""unstarted"":1},{""node"":""N6"",""tasks"":3,""started"":2,""wait"":26.0,""unstarted"":1},{""node"":""N7"",""tasks"":5,""started"":5,""wait"":32.0,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3}]",,
5,high,0.5,greedy,15,36,0.5909090909090909,31.27777777777778,33.0625,2747,18,49,134,374,16,19,0,0.04893640003865585,30,30,0.13977806231327358,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":30.75,""unstarted"":3},{""node"":""N4"",""tasks"":6,""started"":4,""wait"":39.0,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":39.5,""unstarted"":3},{""node"":""N6"",""tasks"":5,""started"":4,""wait"":16.5,""unstarted"":1},{""node"":""N7"",""tasks"":7,""started"":2,""wait"":28.5,""unstarted"":5},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":41.0,""unstarted"":4}]",,
5,high,0.5,static,4,36,0.09090909090909091,17.5,18.0,282,4,72,0,141,0,0,0,0.014034299994818866,1,0,0.19285714285714287,2,"[{""node"":""N3"",""tasks"":7,""started"":1,""wait"":9.0,""unstarted"":6},{""node"":""N4"",""tasks"":6,""started"":1,""wait"":15.0,""unstarted"":5},{""node"":""N5"",""tasks"":5,""started"":1,""wait"":21.0,""unstarted"":4},{""node"":""N6"",""tasks"":5,""started"":0,""wait"":null,""unstarted"":5},{""node"":""N7"",""tasks"":7,""started"":1,""wait"":25.0,""unstarted"":6},{""node"":""N8"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6}]",,
5,high,0.5,rolling,17,36,0.5909090909090909,23.761904761904763,25.529411764705884,2365,21,44,54,361,20,21,0,2.7439240000239806,30,0,0.1996774805539745,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":20.5,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":36.333333333333336,""unstarted"":2},{""node"":""N6"",""tasks"":5,""started"":3,""wait"":8.666666666666666,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":4,""wait"":28.75,""unstarted"":3},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":30.5,""unstarted"":4}]",,
5,high,0.5,lexicographic,16,36,0.5909090909090909,32.26315789473684,35.0625,2961,19,46,159,364,17,41,0,3.1228930999786826,30,3,0.14886128364389234,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":32.75,""unstarted"":3},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":37.0,""unstarted"":1},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":40.0,""unstarted"":3},{""node"":""N6"",""tasks"":5,""started"":4,""wait"":17.0,""unstarted"":1},{""node"":""N7"",""tasks"":7,""started"":2,""wait"":29.0,""unstarted"":5},{""node"":""N8"",""tasks"":6,""started"":2,""wait"":45.5,""unstarted"":4}]",22,23
5,high,0.5,rolling_forecast,17,36,0.5909090909090909,24.38095238095238,26.294117647058822,2430,21,44,68,370,21,21,0,2.4395763999345945,30,0,0.22660007399186088,0,"[{""node"":""N3"",""tasks"":7,""started"":6,""wait"":20.5,""unstarted"":1},{""node"":""N4"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":36.333333333333336,""unstarted"":2},{""node"":""N6"",""tasks"":5,""started"":3,""wait"":8.666666666666666,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":3,""wait"":23.333333333333332,""unstarted"":4},{""node"":""N8"",""tasks"":6,""started"":3,""wait"":39.666666666666664,""unstarted"":3}]",,
